Reference,Qty,Value,DNP,Exclude from BOM,Exclude from Board,Footprint,JLCPCB
"C1,C4,C5,C6,C7,C9,C10,C11",8,100n 0402,,,,Capacitor_SMD:C_0402_1005Metric,C1525 
"C2,C3",2,10u 0402,,,,Capacitor_SMD:C_0402_1005Metric,C15525 
C8,1,22u 0805,,,,Capacitor_SMD:C_0805_2012Metric,C5674 
"D1,D2,D3",3,LESD5D5.0CT1G,,,,LESD5D50CT1G,C5199850
J1,1,TYPE-C-31-M-12,,,,User:HRO_TYPE-C-31-M-12,C165948
"J2,J3",2,Conn_01x17,,,,Connector_PinHeader_1.27mm:PinHeader_1x17_P1.27mm_Vertical,X
LED1,1,KT-0805G,,,,KT0805G,C2297
LED2,1,NCD0805R1,,,,LEDC2012X120N,C84256
"Q1,Q2",2,SS8050,,,,Package_TO_SOT_SMD:SOT-23,C164886
"R1,R2,R5,R6,R7,R8,R9",7,10k 0402,,,,Resistor_SMD:R_0402_1005Metric,C25744 
"R3,R4",2,0 0402,,,,Resistor_SMD:R_0402_1005Metric,C17168
R10,1,22 0402,,,,Resistor_SMD:R_0402_1005Metric,C25092
"S1,S2",2,SKPMAME010,,,,SKPMAME010,C115348
U1,1,AMS1117-3.3,,,,Package_TO_SOT_SMD:SOT-223-3_TabPin2,C347222
U2,1,CH340C,,,,Package_SO:STC_SOP-16_3.9x9.9mm_P1.27mm,C84681
U3,1,SHTC3,,,,Sensor_Humidity:Sensirion_DFN-4-1EP_2x2mm_P1mm_EP0.7x1.6mm,C2880044
U4,1,GL5528,,,,GL5528,C125627
U5,1,ESP32-WROOM-32E,,,,RF_Module:ESP32-WROOM-32D,C701342
